ticker,date,period_ending,estimate,reported,surprise,surprise%
APPN,3-Aug-23,Jun-23,-0.42,-0.39,0.03,7.14
APPS,8-Aug-23,Jun-23,0.12,0.18,0.06,50
APTV,3-Aug-23,Jun-23,1.03,1.25,0.22,21.36
AR,26-Jul-23,Jun-23,-0.27,-0.28,-0.01,-3.7
ARCB,28-Jul-23,Jun-23,2.05,1.54,-0.51,-24.88
ARCH,27-Jul-23,Jun-23,5.82,4.04,-1.78,-30.58
ARCT,7-Aug-23,Jun-23,0.09,-1.98,-2.07,-2300
ARDX,2-Aug-23,Jun-23,-0.12,-0.08,0.04,33.33
ARE,24-Jul-23,Jun-23,2.2,0.51,-1.69,-76.82
ARES,1-Aug-23,Jun-23,0.84,0.9,0.06,7.14
ARGO,7-Aug-23,Jun-23,0.4,-0.02,-0.42,-105
ARI,31-Jul-23,Jun-23,0.41,-0.11,-0.52,-126.83
ARIS,2-Aug-23,Jun-23,0.11,0.22,0.11,100
ARKO,7-Aug-23,Jun-23,0.21,0.11,-0.1,-47.62
ARLO,10-Aug-23,Jun-23,0.04,0.06,0.02,50
ARMK,8-Aug-23,Jun-23,0.33,0.36,0.03,9.09
AROC,31-Jul-23,Jun-23,0.14,0.18,0.04,28.57
AROW,8-Aug-23,Jun-23,0.44,0.35,-0.09,-20.45
ARQT,8-Aug-23,Jun-23,-1.22,-1.16,0.06,4.92
ARR,26-Jul-23,Jun-23,1.3,1.15,-0.15,-11.54
ARRY,8-Aug-23,Jun-23,0.19,0.47,0.28,147.37
ARTNA,7-Aug-23,Jun-23,0.37,0.44,0.07,18.92
ARVN,8-Aug-23,Jun-23,-1.67,-1.25,0.42,25.15
ARW,3-Aug-23,Jun-23,4.33,4.37,0.04,0.92
ARWR,7-Aug-23,Jun-23,-0.58,-0.96,-0.38,-65.52
ASAN,5-Sep-23,Jul-23,-0.11,-0.04,0.07,63.64
ASB,20-Jul-23,Jun-23,0.59,0.56,-0.03,-5.08
ASC,1-Aug-23,Jun-23,0.56,0.57,0.01,1.79
ASGN,26-Jul-23,Jun-23,1.49,1.59,0.1,6.71
ASH,25-Jul-23,Jun-23,1.4,1.23,-0.17,-12.14
ASIX,4-Aug-23,Jun-23,1.11,1.25,0.14,12.61
ASLE,8-Aug-23,Jun-23,0.09,-0.03,-0.12,-133.33
ASO,31-Aug-23,Jul-23,2,2.09,0.09,4.5
ASPN,2-Aug-23,Jun-23,-0.36,-0.22,0.14,38.89
ASRT,3-Aug-23,Jun-23,0.14,0.13,-0.01,-7.14
ASTE,2-Aug-23,Jun-23,0.59,0.87,0.28,47.46
ASTS,14-Aug-23,Jun-23,-0.19,-0.24,-0.05,-26.32
ASUR,7-Aug-23,Jun-23,0.01,0.11,0.1,1000
ATEC,3-Aug-23,Jun-23,-0.3,-0.43,-0.13,-43.33
ATEN,26-Jul-23,Jun-23,0.17,0.19,0.02,11.76
ATEX,2-Aug-23,Jun-23,-0.59,-0.11,0.48,81.36
ATGE,10-Aug-23,Jun-23,0.94,1.03,0.09,9.57
ATI,2-Aug-23,Jun-23,0.55,0.59,0.04,7.27
ATKR,8-Aug-23,Jun-23,4.26,5.72,1.46,34.27
ATNI,26-Jul-23,Jun-23,-0.16,-0.03,0.13,81.25
ATO,2-Aug-23,Jun-23,0.97,0.94,-0.03,-3.09
ATR,27-Jul-23,Jun-23,1.13,1.23,0.1,8.85
ATRA,8-Aug-23,Jun-23,-0.65,-0.68,-0.03,-4.62
ATRC,25-Jul-23,Jun-23,-0.27,-0.12,0.15,55.56
ATRO,3-Aug-23,Jun-23,-0.03,-0.37,-0.34,-1133.33
ATSG,3-Aug-23,Jun-23,0.37,0.57,0.2,54.05
AUB,25-Jul-23,Jun-23,0.7,0.74,0.04,5.71
AUPH,3-Aug-23,Jun-23,-0.2,-0.08,0.12,60
AURA,9-Aug-23,Jun-23,-0.49,-0.48,0.01,2.04
AVA,2-Aug-23,Jun-23,0.15,0.23,0.08,53.33
AVAV,5-Sep-23,Jul-23,0.4,1,0.6,150
AVB,31-Jul-23,Jun-23,2.6,2.59,-0.01,-0.38
AVD,8-Aug-23,Jun-23,0.32,-0.04,-0.36,-112.5
AVGO,31-Aug-23,Jul-23,10.42,10.54,0.12,1.15
AVIR,8-Aug-23,Jun-23,-0.47,-0.34,0.13,27.66
AVNS,9-Aug-23,Jun-23,0.34,0.24,-0.1,-29.41
AVNT,27-Jul-23,Jun-23,0.61,0.63,0.02,3.28
AVNW,23-Aug-23,Jun-23,0.87,0.87,0,0
AVO,11-Sep-23,Jul-23,0.19,0.15,-0.04,-21.05
AVPT,9-Aug-23,Jun-23,0.01,-0.03,-0.04,-400
AVT,16-Aug-23,Jun-23,1.63,2.06,0.43,26.38
AVTE,14-Aug-23,Jun-23,-0.69,-0.76,-0.07,-10.14
AVTR,28-Jul-23,Jun-23,0.29,0.28,-0.01,-3.45
AVXL,8-Aug-23,Jun-23,-0.17,-0.14,0.03,17.65
AVY,25-Jul-23,Jun-23,2.01,1.92,-0.09,-4.48
AWI,25-Jul-23,Jun-23,1.31,1.38,0.07,5.34
AWK,26-Jul-23,Jun-23,1.27,1.44,0.17,13.39
AWR,7-Aug-23,Jun-23,0.79,0.83,0.04,5.06
AX,27-Jul-23,Jun-23,1.27,1.5,0.23,18.11
AXGN,7-Aug-23,Jun-23,-0.15,-0.03,0.12,80
AXL,4-Aug-23,Jun-23,0.08,0.12,0.04,50
AXNX,27-Jul-23,Jun-23,-0.12,-0.15,-0.03,-25
AXON,8-Aug-23,Jun-23,0.62,1.11,0.49,79.03
AXP,21-Jul-23,Jun-23,2.8,2.89,0.09,3.21
AXS,1-Aug-23,Jun-23,1.77,2.23,0.46,25.99
AXSM,7-Aug-23,Jun-23,-1.24,-1,0.24,19.35
AXTA,1-Aug-23,Jun-23,0.39,0.35,-0.04,-10.26
AYI,29-Jun-23,May-23,3.62,3.75,0.13,3.59
AYX,7-Aug-23,Jun-23,-0.66,-0.37,0.29,43.94
AZEK,8-Aug-23,Jun-23,0.26,0.3,0.04,15.38
AZPN,1-Aug-23,Jun-23,2.19,2.13,-0.06,-2.74
